sym,fy,sales,sales_src,pat,pat_src,networth,networth_src,total_assets,total_assets_src,total_debt,total_debt_src,capex
PNGJL,2019,2294.975079220367,legacy_rescaled,24.965478841870823,legacy_rescaled,175.99352560329606,legacy_rescaled,999.7010823118217,legacy_rescaled,368.83697368813137,legacy_rescaled,-13.04
PNGJL,2020,2458.0,vistas,27.0,vistas,187.0,vistas,1192.0,vistas,443.0,vistas,0.0
PNGJL,2021,1902.0,vistas,-7.0,vistas,190.0,vistas,1014.0,vistas,402.0,vistas,0.0
PNGJL,2022,2539.0,vistas,70.0,vistas,246.0,vistas,1110.0,vistas,398.0,vistas,0.0
PNGJL,2023,4488.0,vistas,94.0,vistas,311.0,vistas,1063.0,vistas,387.0,vistas,0.0
PNGJL,2024,6061.0,vistas,155.0,vistas,534.0,vistas,1465.0,vistas,455.0,vistas,0.0
PNGJL,2025,7586.0,vistas,218.0,vistas,1554.0,vistas,3144.0,vistas,930.0,vistas,-52.48
PNGJL,2026,10739.0,vistas,410.0,vistas,1963.0,vistas,4964.0,vistas,1737.0,vistas,
POCL,2000,19.75805552458468,legacy_rescaled,0.8050314465408805,legacy_rescaled,6.50828729281768,legacy_rescaled,10.598996804165168,legacy_rescaled,1.8903670615653523,legacy_rescaled,
POCL,2001,20.765915932656927,legacy_rescaled,0.8553459119496855,legacy_rescaled,6.668245198631939,legacy_rescaled,10.339266439501367,legacy_rescaled,1.610312682074189,legacy_rescaled,-0.29
POCL,2002,27.371892072694838,legacy_rescaled,0.9459119496855345,legacy_rescaled,7.118126808734544,legacy_rescaled,11.627928633410232,legacy_rescaled,2.0303942513109337,legacy_rescaled,-0.54
POCL,2003,36.083398372170805,legacy_rescaled,1.0867924528301887,legacy_rescaled,7.3980531439094985,legacy_rescaled,13.476010074287288,legacy_rescaled,3.2506311905224314,legacy_rescaled,-0.27
POCL,2004,46.58111272159661,legacy_rescaled,2.2641509433962264,legacy_rescaled,8.997632202052092,legacy_rescaled,19.88935215560118,legacy_rescaled,5.070984657214993,legacy_rescaled,-1.97
POCL,2005,63.44531162894414,legacy_rescaled,2.1937106918238993,legacy_rescaled,10.177321757432255,legacy_rescaled,24.864187601854013,legacy_rescaled,8.421635268984268,legacy_rescaled,-2.08
POCL,2006,76.72711562047051,legacy_rescaled,1.1773584905660377,legacy_rescaled,10.717179689555381,legacy_rescaled,31.62716671252302,legacy_rescaled,13.692658768692949,legacy_rescaled,-3.7
POCL,2007,104.0,vistas,3.0,vistas,19.0,vistas,48.0,vistas,19.0,vistas,-5.0200000000000005
POCL,2008,165.0,vistas,5.0,vistas,23.0,vistas,56.0,vistas,20.0,vistas,-3.8099999999999996
POCL,2009,175.0,vistas,-7.0,vistas,18.0,vistas,61.0,vistas,36.0,vistas,-0.5899999999999997
POCL,2010,228.0,vistas,12.0,vistas,29.0,vistas,105.0,vistas,60.0,vistas,-9.58
POCL,2011,320.0,vistas,7.0,vistas,35.0,vistas,123.0,vistas,58.0,vistas,-6.319999999999999
POCL,2012,307.0,vistas,3.0,vistas,36.0,vistas,102.0,vistas,50.0,vistas,-4.83
POCL,2013,358.0,vistas,3.0,vistas,38.0,vistas,141.0,vistas,76.0,vistas,-3.0
POCL,2014,457.0,vistas,3.0,vistas,40.0,vistas,141.0,vistas,75.0,vistas,-2.88
POCL,2015,372.17989742446207,legacy_rescaled,7.205031446540881,legacy_rescaled,31.80163114969745,legacy_rescaled,111.39435755254081,legacy_rescaled,57.36113808506506,legacy_rescaled,-9.29
POCL,2016,464.982885494481,legacy_rescaled,10.1937106918239,legacy_rescaled,40.109444882925544,legacy_rescaled,152.25194184003897,legacy_rescaled,82.7860749660128,legacy_rescaled,-3.92
